<Comprimento de Onda>	<Intensidade>
641.75	0.573
641.95	0.568
642.15	0.566
642.35	0.568
642.54	0.567
642.74	0.568
642.94	0.563
643.14	0.559
643.34	0.561
643.54	0.561
643.74	0.554
643.94	0.558
644.14	0.567
644.34	0.566
644.53	0.562
644.73	0.561
644.93	0.561
645.13	0.564
645.33	0.549
645.53	0.562
645.73	0.560
645.93	0.562
646.13	0.564
646.32	0.554
646.52	0.552
646.72	0.548
646.92	0.557
647.12	0.563
647.32	0.554
647.52	0.538
647.72	0.561
647.91	0.548
648.11	0.550
648.31	0.545
648.51	0.538
648.71	0.544
648.91	0.550
649.11	0.543
649.30	0.550
649.50	0.542
649.70	0.542
649.90	0.549
650.10	0.534
650.30	0.545
650.50	0.540
650.69	0.548
650.89	0.536
651.09	0.531
651.29	0.538
651.49	0.544
651.69	0.533
651.88	0.537
652.08	0.548
652.28	0.536
652.48	0.533
652.68	0.534
652.88	0.532
653.07	0.532
653.27	0.532
653.47	0.533
653.67	0.535
653.87	0.532
654.07	0.522
654.26	0.528
654.46	0.531
654.66	0.516
654.86	0.535
655.06	0.526
655.25	0.519
655.45	0.525
655.65	0.523
655.85	0.519
656.05	0.527
656.25	0.528
656.44	0.522
656.64	0.522
656.84	0.525
657.04	0.521
657.24	0.522
657.43	0.524
657.63	0.512
657.83	0.512
658.03	0.510
658.23	0.519
658.42	0.517
658.62	0.517
658.82	0.520
659.02	0.518
659.21	0.509
659.41	0.504
659.61	0.503
659.81	0.513
660.01	0.506
660.20	0.514
660.40	0.506
660.60	0.503
660.80	0.495
660.99	0.502
661.19	0.508
661.39	0.509
661.59	0.510
661.79	0.501
661.98	0.501
662.18	0.503
662.38	0.505
662.58	0.490
662.77	0.504
662.97	0.497
663.17	0.495
663.37	0.492
663.56	0.491
663.76	0.496
663.96	0.506
664.16	0.494
664.35	0.495
664.55	0.496
664.75	0.501
664.95	0.483
665.14	0.484
665.34	0.492
665.54	0.487
665.74	0.481
665.93	0.485
666.13	0.490
666.33	0.489
666.52	0.484
666.72	0.481
666.92	0.471
667.12	0.492
667.31	0.489
667.51	0.492
667.71	0.461
667.90	0.499
668.10	0.478
668.30	0.485
668.50	0.481
668.69	0.479
668.89	0.470
669.09	0.476
669.28	0.470
669.48	0.478
669.68	0.473
669.88	0.464
670.07	0.469
670.27	0.472
670.47	0.467
670.66	0.467
670.86	0.461
671.06	0.478
671.26	0.477
671.45	0.474
671.65	0.466
671.85	0.455
672.04	0.465
672.24	0.469
672.44	0.457
672.63	0.469
672.83	0.458
673.03	0.457
673.22	0.453
673.42	0.464
673.62	0.453
673.81	0.465
674.01	0.456
674.21	0.453
674.40	0.456
674.60	0.455
674.80	0.454
674.99	0.459
675.19	0.453
675.39	0.451
675.58	0.445
675.78	0.456
675.98	0.449
676.17	0.450
676.37	0.447
676.57	0.450
676.76	0.444
676.96	0.446
677.16	0.445
677.35	0.443
677.55	0.436
677.75	0.443
677.94	0.435
678.14	0.443
678.34	0.432
678.53	0.448
678.73	0.433
678.92	0.448
679.12	0.439
679.32	0.441
679.51	0.432
679.71	0.437
679.91	0.435
680.10	0.433
680.30	0.429
680.49	0.436
680.69	0.434
680.89	0.433
681.08	0.430
681.28	0.423
681.48	0.427
681.67	0.429
681.87	0.424
682.06	0.432
682.26	0.417
682.46	0.423
682.65	0.433
682.85	0.423
683.04	0.425
683.24	0.426
683.44	0.418
683.63	0.423
683.83	0.408
684.02	0.425
684.22	0.419
684.42	0.421
684.61	0.413
684.81	0.424
685.00	0.426
685.20	0.417
685.40	0.411
685.59	0.417
685.79	0.417
685.98	0.421
686.18	0.411
686.37	0.420
686.57	0.401
686.77	0.411
686.96	0.405
687.16	0.412
687.35	0.411
687.55	0.419
687.75	0.401
687.94	0.421
688.14	0.407
688.33	0.403
688.53	0.400
688.72	0.408
688.92	0.410
689.11	0.410
689.31	0.413
689.51	0.413
689.70	0.398
689.90	0.406
690.09	0.396
690.29	0.405
690.48	0.386
690.68	0.408
690.87	0.396
691.07	0.397
691.26	0.388
691.46	0.395
691.66	0.389
691.85	0.406
692.05	0.398
692.24	0.399
692.44	0.392
692.63	0.402
692.83	0.399
693.02	0.403
693.22	0.393
693.41	0.393
693.61	0.384
693.80	0.390
694.00	0.371
694.19	0.394
694.39	0.372
694.58	0.408
694.78	0.393
694.98	0.389
695.17	0.385
695.37	0.388
695.56	0.390
695.76	0.391
695.95	0.376
696.15	0.389
696.34	0.376
696.54	0.390
696.73	0.375
696.93	0.392
697.12	0.380
697.32	0.379
697.51	0.376
697.71	0.380
697.90	0.373
698.10	0.377
698.29	0.373
698.48	0.379
698.68	0.376
698.87	0.377
699.07	0.364
699.26	0.373
699.46	0.367
699.65	0.383
699.85	0.369
700.04	0.378
700.24	0.367
700.43	0.383
700.63	0.358
700.82	0.378
701.02	0.361
701.21	0.364
701.41	0.361
701.60	0.367
701.80	0.359
701.99	0.359
702.18	0.355
702.38	0.370
702.57	0.356
702.77	0.360
702.96	0.351
703.16	0.362
703.35	0.347
703.55	0.360
703.74	0.357
703.93	0.355
704.13	0.346
704.32	0.357
704.52	0.351
704.71	0.350
704.91	0.348
705.10	0.343
705.30	0.341
705.49	0.343
705.68	0.336
705.88	0.344
706.07	0.340
706.27	0.343
706.46	0.340
706.66	0.345
706.85	0.338
707.04	0.334
707.24	0.329
707.43	0.345
707.63	0.333
707.82	0.338
708.01	0.337
708.21	0.332
708.40	0.330
708.60	0.342
708.79	0.322
